plano;data;aumento
fam1;01/01/2024;10,88%
fam1;01/02/2024;10,88%
fam1;01/03/2024;10,88%
fam1;01/04/2024;10,88%
fam1;01/05/2024;10,88%
fam1;01/06/2024;10,88%
fam1;01/07/2024;10,88%
fam1;01/08/2024;10,07%
fam1;01/09/2024;10,07%
fam1;01/10/2024;10,07%
fam1;01/11/2024;10,07%
fam1;01/12/2024;10,07%
fam1;01/01/2025;10,07%
fam1;01/02/2025;10,07%
fam1;01/03/2025;10,07%
fam1;01/04/2025;10,07%
fam1;01/05/2025;10,07%
fam1;01/06/2025;10,07%
fam1;01/07/2025;10,07%
fam1;01/08/2025;9,02%
fam1;01/09/2025;9,02%
fam1;01/10/2025;9,02%
fam1;01/11/2025;9,02%
fam1;01/12/2025;9,02%
fam1;01/01/2026;9,02%
fam1;01/02/2026;9,02%
fam1;01/03/2026;9,02%
fam1;01/04/2026;9,02%
fam1;01/05/2026;9,02%
fam1;01/06/2026;9,02%
fam1;01/07/2026;9,02%
fam1;01/08/2026;0%
fam1;01/09/2026;0%
fam1;01/10/2026;0%
fam1;01/11/2026;0%
fam1;01/12/2026;0%
fam2;01/01/2024;14,25%
fam2;01/02/2024;14,25%
fam2;01/03/2024;14,25%
fam2;01/04/2024;14,25%
fam2;01/05/2024;14,25%
fam2;01/06/2024;14,25%
fam2;01/07/2024;14,25%
fam2;01/08/2024;23,88%
fam2;01/09/2024;23,88%
fam2;01/10/2024;23,88%
fam2;01/11/2024;23,88%
fam2;01/12/2024;23,88%
fam2;01/01/2025;23,88%
fam2;01/02/2025;23,88%
fam2;01/03/2025;23,88%
fam2;01/04/2025;23,88%
fam2;01/05/2025;23,88%
fam2;01/06/2025;23,88%
fam2;01/07/2025;23,88%
fam2;01/08/2025;12,85%
fam2;01/09/2025;12,85%
fam2;01/10/2025;12,85%
fam2;01/11/2025;12,85%
fam2;01/12/2025;12,85%
fam2;01/01/2026;12,85%
fam2;01/02/2026;12,85%
fam2;01/03/2026;12,85%
fam2;01/04/2026;12,85%
fam2;01/05/2026;12,85%
fam2;01/06/2026;12,85%
fam2;01/07/2026;12,85%
fam2;01/08/2026;0%
fam2;01/09/2026;0%
fam2;01/10/2026;0%
fam2;01/11/2026;0%
fam2;01/12/2026;0%
vida;01/11/2024;54,65%
vida;01/11/2025;31,52%
vida;01/11/2026;0%
ESSENCIAL PR, SC e RS;01/06/2024;14,31%
ESSENCIAL RJ e ES;02/06/2024;10,98%
ESSENCIAL SP;03/06/2024;7,96%
ESSENCIAL BA e SE;04/06/2024;7,96%
ESSENCIAL CE e PI;05/06/2024;3,93%
ESSENCIAL DF e ENTORNO;06/06/2024;3,93%
ESSENCIAL MA;07/06/2024;3,93%
ESSENCIAL MG;08/06/2024;3,93%
ESSENCIAL AL, PB e RN;09/06/2024;3,93%
ESSENCIAL GO, MS, MT, RO e TO;10/06/2024;3,93%
ESSENCIAL PE;11/06/2024;3,93%
ESSENCIAL AC, AM, AP, PA e RR;12/06/2024;3,93%
ESSENCIAL RJ e ES;13/06/2025;24,17%
ESSENCIAL GO, MS, MT, RO e TO;14/06/2025;20,46%
ESSENCIAL PR, SC e RS;15/06/2025;20,01%
ESSENCIAL BA e SE;16/06/2025;16,57%
ESSENCIAL AL, PB e RN;17/06/2025;15,24%
ESSENCIAL CE e PI;18/06/2025;13,46%
ESSENCIAL PE;19/06/2025;12,53%
ESSENCIAL MA;20/06/2025;11,62%
ESSENCIAL DF e ENTORNO;21/06/2025;8,12%
ESSENCIAL SP;22/06/2025;6,63%
ESSENCIAL AC, AM, AP, PA e RR;23/06/2025;5,37%
ESSENCIAL MG;24/06/2025;4,24%
ESSENCIAL DF e ENTORNO;01/06/2026;6,62%
ESSENCIAL AC, AM, AP, PA e RR;01/06/2026;10,95%
ESSENCIAL CE e PI;01/06/2026;13,78%
ESSENCIAL AL, PB e RN;01/06/2026;6,62%
ESSENCIAL BA e SE;01/06/2026;6,62%
ESSENCIAL GO, MS, MT, RO e TO;01/06/2026;6,62%
ESSENCIAL MG;01/06/2026;6,62%
ESSENCIAL SP;01/06/2026;6,62%
ESSENCIAL RJ e ES;01/06/2026;13,78%
ESSENCIAL PR, SC e RS;01/06/2026;10,95%
ESSENCIAL MA;01/06/2026;6,62%
ESSENCIAL PE;01/06/2026;6,62%
GDI;01/04/2024;14,25%
GDI;01/04/2025;23,88%
GDI;01/04/2026;12,85%